"node1","rel","node2"
"RAXecDWH8g","[fillcolor=yellow,URL=""http://purl.org/np/RAXecDWH8gZVp7FZRP1m_Fg6EXH_uoZGhKN9blfN9lrfI""]",""
"RA9UaQM3wV","[fillcolor=yellow,URL=""http://purl.org/np/RA9UaQM3wVa9xRAmL9CWEXyhDbcgvHlPoGTw4pnKaHYL8""]",""
"RACS5sSm45","[fillcolor=yellow,URL=""http://purl.org/np/RACS5sSm45MGbuJrztnPrpdu1AuLiKxDni-6JcKzN5ZtM""]",""
"RAPVWYH0x-","[fillcolor=yellow,URL=""http://purl.org/np/RAPVWYH0x-xyDa9PfBcGUFly3m1FNEO43KG9s0uH-y6yo""]",""
"RANAxL2OxG","[fillcolor=yellow,URL=""http://purl.org/np/RANAxL2OxGmP9VAN6cUi_0KEK0rJb9bPn4l1A5HquXKrI""]",""
"RAtsHwzNs3","[fillcolor=yellow,URL=""http://purl.org/np/RAtsHwzNs36rGrLnoSbGrPD351Qw033Acoe4zmdXhsYlM""]",""
"RAlKYv_sE8","[fillcolor=yellow,URL=""http://purl.org/np/RAlKYv_sE8qwiSqsRdcr7KrkU1bsqlqiFmhDPtPBwpLrM""]",""
"RAodU4AmRj","[fillcolor=yellow,URL=""http://purl.org/np/RAodU4AmRjfzyjwtJK3luO0iyRJJPUBjkijKWdlMHvack""]",""
"RAFQovt9yQ","[fillcolor=yellow,URL=""http://purl.org/np/RAFQovt9yQD7nZ2tdZ9_Uhpb7CsfT3k64pK7dh63xd-50""]",""
"RAuLZtfsHn","[fillcolor=yellow,URL=""http://purl.org/np/RAuLZtfsHn3NGe0Md8lLNvYmBseEtW9v1rVUVfJCpJYUE""]",""
"RAjD4-Q2kO","[fillcolor=yellow,URL=""http://purl.org/np/RAjD4-Q2kO_cIUE52rde2uWbV3RtuCR90geXW90il2YX4""]",""
"RAY2Gg01ff","[fillcolor=yellow,URL=""http://purl.org/np/RAY2Gg01ffDVLprAakuMqpizAjksasRtTal_UsCf94LL8""]",""
"RAEpHUXRKt","[fillcolor=yellow,URL=""http://purl.org/np/RAEpHUXRKtaLE3Z24sgIUdaxwTBsK2bjshyq9yF00145Y""]",""
"RA6snbuih8","[fillcolor=yellow,URL=""http://purl.org/np/RA6snbuih8c4A_1jDlDPtYXKBcO5KE5jdoQUtu3V2xPY4""]",""
"RAVYczMihU","[fillcolor=yellow,URL=""http://purl.org/np/RAVYczMihUbgryLu1x8xhoqR6LQe4fSoWmF3SCQHfR5xE""]",""
"RAY3LaUoVt","[fillcolor=yellow,URL=""http://purl.org/np/RAY3LaUoVtBLj9CN36wyyvTIjSMsACErVtEApnA12zjy0""]",""
"RAIwMZ0StX","[fillcolor=yellow,URL=""http://purl.org/np/RAIwMZ0StXU9DCY1WGoJMwD2NAc30mijCb0FML8TXIB0Y""]",""
"RAUxfk7XeL","[fillcolor=yellow,URL=""http://purl.org/np/RAUxfk7XeLxn-2hiX3xWSlE5LXgkNW0MIFBGe2h3Bb3pM""]",""
"RAvOAyEg-J","[fillcolor=yellow,URL=""http://purl.org/np/RAvOAyEg-J8ynmZNrkCgg5XqGuqRo-dXcGFvgDLxtY6ck""]",""
