"node1","rel","node2"
"RASZZ5T1Ca","->","RAXecDWH8g"
"RASZZ5T1Ca","->","RA9UaQM3wV"
"RASZZ5T1Ca","->","RACS5sSm45"
"RAGo62Hb_B","->","RAPVWYH0x-"
"RAxxJWyH8O","->","RANAxL2OxG"
"RAxxJWyH8O","->","RAtsHwzNs3"
"RAYJe1ruxz","->","RAlKYv_sE8"
"RAPLWOEA5t","->","RAodU4AmRj"
"RAPLWOEA5t","->","RAFQovt9yQ"
"RAWCmrfeUU","->","RAuLZtfsHn"
"RAWCmrfeUU","->","RAjD4-Q2kO"
"RAWcrMY8mn","->","RAY2Gg01ff"
"RAn15vsPJE","->","RAOxICL4UL"
"RAWcrMY8mn","->","RAEpHUXRKt"
"RAjk3YoNyd","->","RA6snbuih8"
"RAc5YYnYev","->","RAVYczMihU"
"RAxxJWyH8O","->","RAY3LaUoVt"
"RAYJe1ruxz","->","RAIwMZ0StX"
"RATc9O9tCd","->","RAUxfk7XeL"
"RAWCmrfeUU","->","RAvOAyEg-J"
"RAn15vsPJE","->","RA9pwySo43"
"RAn15vsPJE","->","RAlfRfPak2"
