"node1","rel","node2"
"RAbWbJ","[fillcolor=black,URL=""http://purl.org/np/RAbWbJCYlLhlYBDn9PVxdJP_WUbbi058aRcK-3sOJsRwY""]",""
"RAeRSy","[fillcolor=black,URL=""http://purl.org/np/RAeRSya2qIYymsBxiqOZP_oaQpHXUVXiydKvPCFM-7DDQ""]",""
"RABzhu","[fillcolor=black,URL=""http://purl.org/np/RABzhulhaPhOzo9MxWxl230N72-azdlpMNwu_HtDqsuUc""]",""
"RAmG2b","[fillcolor=black,URL=""http://purl.org/np/RAmG2bXxwkIzARk4Mda-lqZU0RVnkpX7hUHBIPcdLHQUU""]",""
"RAyg4U","[fillcolor=black,URL=""http://purl.org/np/RAyg4UgIVovBGia-hk4qEuRzOq14fcOlYAclC6YGQaVYU""]",""
"RAgoIx","[fillcolor=black,URL=""http://purl.org/np/RAgoIxfXPqNDY8vnK2EmBQDAFwuFIDJtfaMplTvPMq3pg""]",""
"RA22JA","[fillcolor=black,URL=""http://purl.org/np/RA22JAQihYeiJkNIjvwnxLPmjuG74yPcRXpPyVX8DV6fA""]",""
"RAMgTh","[fillcolor=black,URL=""http://purl.org/np/RAMgThXW6xx8QiPmW9VhVuxWCN2ZWe-pmxDcFfdx_A7z0""]",""
"RAXkuX","[fillcolor=black,URL=""http://purl.org/np/RAXkuXJ4IK10Ai9F39_tOFDy6ewi7znau6OQhUEXP4nPc""]",""
"RAIJyz","[fillcolor=black,URL=""http://purl.org/np/RAIJyzbDdxh5YPnx90IC6bc4IXhn7Y6gZOtzm-R0gV-tY""]",""
"RASPvP","[fillcolor=black,URL=""http://purl.org/np/RASPvPrnUq6SOsOkrgOsUvRbsfmC7dHd73FgUA6oRmlGg""]",""
"RAoo8E","[fillcolor=black,URL=""http://purl.org/np/RAoo8EvTgfkxJw5SgZXbJvRl5nQG7ygeGaHp8Zud1U4Zw""]",""
"RAxBBJ","[fillcolor=black,URL=""http://purl.org/np/RAxBBJ2WkonyQNlXfdCAOaCi64J_xqgVGeaLjVQow9M88""]",""
"RA1FoH","[fillcolor=black,URL=""http://purl.org/np/RA1FoHM9lwJ1XAV1eB871XcMAKfod73G_i4YtgoLpJVH0""]",""
"RAn15v","[fillcolor=black,URL=""http://purl.org/np/RAn15vsPJEVdJvjNKtBPo_oadtjeP9oc3Si-69FiJ4poQ""]",""
